,Year,Country Name,Country Code,Life Expectancy at birth (total years),"Mortality rate, infant (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",Weighted World Death
81,2017,Barbados,BRB,0.934856388952242,0.13823857302118173,0.19690265486725664,0.10283960092095164,-0.3436871253756978
82,2018,Barbados,BRB,0.9360400361445443,0.13489409141583053,0.1902654867256637,0.0997697620874904,-0.30362365521406953
83,2019,Barbados,BRB,0.9373302115841537,0.13043478260869565,0.18584070796460175,0.09669992325402915,-0.2678611705431595
84,2020,Barbados,BRB,0.938407330529149,0.12709030100334448,0.17920353982300882,0.0936300844205679,-0.22790422862883808
85,2016,Belarus,BLR,0.8738491917999242,0.03232998885172798,0.0331858407079646,0.02993092862624712,0.5899079774675859
86,2017,Belarus,BLR,0.877429002820545,0.030100334448160536,0.030973451327433624,0.02762854950115119,0.6137937819373183
87,2018,Belarus,BLR,0.8779775222511249,0.027870680044593088,0.026548672566371678,0.026093630084420564,0.6382156241251414
88,2019,Belarus,BLR,0.8785837805691332,0.026755852842809364,0.024336283185840708,0.023791250959324634,0.6568982214886938
89,2020,Belarus,BLR,0.8791611694434273,0.02452619843924192,0.022123893805309734,0.022256331542594012,0.6747117649786382
90,2016,Belgium,BEL,0.9639507256334686,0.03678929765886287,0.050884955752212385,0.03146584804297774,0.6118538708871948
91,2017,Belgium,BEL,0.9645858533951922,0.03678929765886287,0.050884955752212385,0.03146584804297774,0.6124889986489184
92,2018,Belgium,BEL,0.9657983700312085,0.0379041248606466,0.053097345132743355,0.03223330775134305,0.6017648539063131
93,2019,Belgium,BEL,0.9675882755415189,0.0379041248606466,0.053097345132743355,0.03223330775134305,0.6035547594166235
94,2020,Belgium,BEL,0.9682234033032412,0.0379041248606466,0.053097345132743355,0.03223330775134305,0.6041898871783458
95,2016,Belize,BLZ,0.8784911096548087,0.13935340022296544,0.21238938053097342,0.11128165771297006,-0.4825104632359225
96,2017,Belize,BLZ,0.88021923455557,0.1315496098104794,0.20132743362831856,0.10514198004604756,-0.4074302061345346
97,2018,Belize,BLZ,0.881769812377486,0.1237458193979933,0.1902654867256637,0.09900230237912509,-0.33252749611199217
98,2019,Belize,BLZ,0.8832730443117099,0.11817168338907469,0.17920353982300882,0.09439754412893323,-0.2682711184511989
99,2020,Belize,BLZ,0.8848670225306771,0.11148272017837235,0.17035398230088494,0.08979278587874136,-0.20833150824368796
100,2016,Benin,BEN,0.7206635930332265,0.6900780379041248,0.6969026548672566,0.7321565617805065,-5.678826694498819
101,2017,Benin,BEN,0.7240843334189799,0.6755852842809364,0.6880530973451328,0.7152724481964696,-5.552335319964169
102,2018,Benin,BEN,0.7275879291081946,0.661092530657748,0.6769911504424778,0.6976208749040675,-5.416054083151005
103,2019,Benin,BEN,0.7311507071570245,0.6454849498327759,0.6681415929203539,0.6784343821949348,-5.277981500049329
104,2020,Benin,BEN,0.7345951204866239,0.6298773690078038,0.6570796460176991,0.6592478894858019,-5.133390113525289
105,2016,Bhutan,BTN,0.8377973191834575,0.2954292084726867,0.3893805309734513,0.24481964696853412,-1.9004812785564065
106,2017,Bhutan,BTN,0.8419164114126693,0.2853957636566332,0.37610619469026546,0.2356101304681504,-1.7996342218439954
107,2018,Bhutan,BTN,0.8458342836191896,0.2753623188405797,0.3606194690265487,0.22716807367613198,-1.6954210558461442
108,2019,Bhutan,BTN,0.8495864452187878,0.2664437012263099,0.3473451327433628,0.2194934765924789,-1.6033102618338362
109,2020,Bhutan,BTN,0.8535161538972312,0.2586399108138238,0.3384955752212389,0.21181887950882577,-1.5265259114294363
110,2016,Bolivia,BOL,0.8359626660353889,0.2709030100334448,0.35176991150442477,0.2294704528012279,-1.6790348997496864
111,2017,Bolivia,BOL,0.8397385005788329,0.2586399108138238,0.33628318584070793,0.2194934765924789,-1.5643647849408537
112,2018,Bolivia,BOL,0.8432184233242017,0.24860646599777034,0.32300884955752207,0.21028396009209513,-1.4641568977122854
113,2019,Bolivia,BOL,0.8464616166311099,0.23968784838350055,0.30973451327433627,0.20184190330007673,-1.3694852331592071
114,2020,Bolivia,BOL,0.8501782688149392,0.23076923076923075,0.2986725663716814,0.19493476592478892,-1.287116955537722
115,2016,Bosnia and Herzegovina,BIH,0.9113846651288885,0.059085841694537344,0.0995575221238938,0.04758250191864927,0.30421040769353536
